Equipo_Local,Equipo_Visitante,Cuota_Local,Cuota_Visitante,Resultado
Dortmund,Leipzig,3,97,1
Club Brugge,Sheriff,82,18,2
Bayern,LOSC,84,16,2
Sevilla,Club Brugge,37,63,3
Sheriff,Benfica,8,92,2
Bayern,Atlanta,48,52,2
Wolfsburg,Internazionale,85,15,3
Juventus,Villareal,83,17,1
Zenit,Man. City,86,14,1
Chelsea,Benfica,42,58,2
Milan,Atletico,57,43,3
Dortmund,LOSC,1,99,2
Bensiktas,Atletico,99,1,1
Sevilla,Ajax,83,17,2
Villareal,Sheriff,16,84,1
Chelsea,Milan,99,1,2
Villareal,Barcelona,13,87,3
Paris,Benfica,29,71,1
Paris,Barcelona,70,30,3
Chelsea,Salzburg,80,20,2
Chelsea,Juventus,6,94,3
Paris,Chelsea,11,89,2
Leipzig,Milan,91,9,1
Shakhtar Donetsk,Man. City,91,9,2
Porto,Juventus,41,59,1
Sheriff,Liverpool,59,41,3
Liverpool,Atletico,67,33,1
Juventus,Liverpool,46,54,2
Young Boys,Ajax,15,85,3
Juventus,Sporting CP,12,88,3
Dortmund,Wolfsburg,90,10,1
Paris,Man. City,50,50,3
Sporting CP,Sheriff,30,70,3
Juventus,Wolfsburg,69,31,2
Atlanta,Bayern,98,2,1
Wolfsburg,Shakhtar Donetsk,27,73,2
Porto,Zenit,42,58,2
Sporting CP,Villareal,87,13,3
Man. United,Porto,51,49,1
Internazionale,Paris,58,42,1
Shakhtar Donetsk,Milan,25,75,2
Bensiktas,Zenit,45,55,2
Bensiktas,Paris,38,62,3
Barcelona,Real Madrid,27,73,3
Man. City,Internazionale,39,61,2
Bensiktas,Paris,50,50,1
Club Brugge,Porto,21,79,2
Leipzig,Atlanta,80,20,2
Man. City,Paris,9,91,3
Ajax,Milan,25,75,3
Bensiktas,Chelsea,50,50,1
Paris,Juventus,50,50,3
Young Boys,Villareal,99,1,3
Porto,Dynamo,40,60,1
LOSC,Dynamo,45,55,1
Benfica,Sheriff,30,70,2
Malmö,Atlanta,6,94,1
Internazionale,Atletico,83,17,3
LOSC,Sheriff,84,16,2
Man. City,Young Boys,15,85,1
Barcelona,Real Madrid,46,54,1
Ajax,Malmö,30,70,2
Atletico,Man. City,62,38,2
Porto,Man. City,14,86,3
Bayern,Zenit,83,17,2
Leipzig,Benfica,79,21,2
LOSC,Paris,46,54,3
Liverpool,Sheriff,65,35,2
Barcelona,Man. City,93,7,1
Milan,LOSC,94,6,1
Benfica,Liverpool,6,94,1
Milan,LOSC,16,84,1
Porto,Sporting CP,65,35,1
Barcelona,Benfica,59,41,3
Young Boys,Chelsea,61,39,3
Atletico,Atlanta,90,10,2
Porto,Paris,45,55,1
Malmö,Bensiktas,2,98,3
Villareal,Dortmund,65,35,1
Zenit,Ajax,90,10,2
Bayern,Milan,58,42,3
Club Brugge,LOSC,49,51,2
Paris,Porto,83,17,3
Atletico,Young Boys,25,75,1
Villareal,Atletico,91,9,1
Atlanta,Malmö,40,60,2
Young Boys,Liverpool,61,39,2
Atletico,Chelsea,100,0,3
Man. United,Paris,74,26,1
Shakhtar Donetsk,Bayern,16,84,1
Chelsea,Atlanta,49,51,1
Benfica,Sporting CP,57,43,1
Chelsea,Dortmund,52,48,1
Juventus,Salzburg,1,99,1
Ajax,Club Brugge,33,67,2
Bayern,Barcelona,90,10,2
Barcelona,Sporting CP,71,29,3
Ajax,Sporting CP,16,84,3
Man. United,Porto,3,97,2
Atletico,Man. United,68,32,2
Shakhtar Donetsk,Internazionale,41,59,1
Liverpool,Malmö,67,33,2
Villareal,Sporting CP,49,51,3
Internazionale,Sheriff,45,55,2
Malmö,Juventus,34,66,3
Atlanta,Sheriff,31,69,1
Young Boys,Sheriff,27,73,2
Bensiktas,Bayern,12,88,3
Sporting CP,Atletico,67,33,2
Man. City,Atletico,69,31,2
Liverpool,Ajax,88,12,2
Benfica,Man. United,47,53,3
Bensiktas,Villareal,29,71,2
Atletico,Barcelona,68,32,1
Atlanta,Real Madrid,1,99,2
Leipzig,Malmö,84,16,2
Porto,Man. United,25,75,1
Bayern,Sevilla,85,15,3
Club Brugge,Internazionale,62,38,2
Dynamo,Leipzig,23,77,1
Man. United,Ajax,50,50,3
Internazionale,Sporting CP,21,79,2
Sheriff,Young Boys,18,82,2
Atletico,Atlanta,5,95,3
Sporting CP,Sevilla,24,76,1
Bensiktas,Sevilla,75,25,1
Benfica,Barcelona,19,81,1
Wolfsburg,Villareal,93,7,2
Internazionale,Man. City,28,72,1
Porto,Sporting CP,23,77,3
Chelsea,Sheriff,15,85,1
Bensiktas,Dynamo,0,100,3
Young Boys,Sevilla,40,60,1
Young Boys,Atletico,18,82,3
Juventus,Dynamo,70,30,2
LOSC,Dortmund,34,66,1
Sporting CP,LOSC,83,17,3
Dortmund,Paris,1,99,2
Ajax,Barcelona,21,79,1
LOSC,Leipzig,42,58,3
Atletico,Porto,45,55,3
Ajax,Villareal,3,97,2
Internazionale,Man. United,1,99,2
Man. City,Atlanta,30,70,1
Young Boys,Sporting CP,74,26,2
Atlanta,Dynamo,2,98,3
Real Madrid,Paris,69,31,3
Milan,Sheriff,10,90,2
LOSC,Club Brugge,92,8,3
Dortmund,Milan,38,62,1
Sheriff,Shakhtar Donetsk,95,5,1
Shakhtar Donetsk,Real Madrid,53,47,3
Bayern,Atletico,70,30,2
Bayern,Milan,43,57,2
Chelsea,Paris,61,39,3
Atlanta,Shakhtar Donetsk,69,31,1
Internazionale,Chelsea,65,35,2
Milan,Dynamo,56,44,3
Real Madrid,Club Brugge,84,16,1
Barcelona,Villareal,92,8,1
Dynamo,Sporting CP,4,96,2
Atletico,Internazionale,1,99,3
Sheriff,Wolfsburg,0,100,2
Leipzig,Man. City,12,88,1
Sevilla,Bayern,12,88,3
Bensiktas,LOSC,41,59,1
Liverpool,Internazionale,68,32,2
Villareal,Man. United,20,80,1
Dortmund,Club Brugge,91,9,1
Sevilla,Bayern,29,71,3
Real Madrid,Man. United,48,52,1
Internazionale,Bensiktas,2,98,2
Dortmund,Sevilla,33,67,3
Young Boys,Man. United,80,20,2
Milan,Barcelona,14,86,2
Atletico,LOSC,91,9,2
Benfica,Juventus,31,69,1
Barcelona,Shakhtar Donetsk,63,37,1
Young Boys,Barcelona,33,67,3
Bensiktas,Sevilla,11,89,1
Zenit,Villareal,90,10,3
Juventus,Man. City,72,28,1
Wolfsburg,Dortmund,95,5,2
Club Brugge,Bensiktas,91,9,2
Sporting CP,Villareal,3,97,1
Club Brugge,Leipzig,71,29,1
Juventus,Milan,49,51,3
Atletico,Man. United,55,45,1
Benfica,Internazionale,100,0,3
Sporting CP,LOSC,51,49,1
Zenit,Sevilla,79,21,1
Malmö,Bayern,81,19,3
Leipzig,Sevilla,51,49,3
Atlanta,Milan,67,33,1
Paris,Real Madrid,93,7,2
Man. United,Bensiktas,47,53,1
Bayern,Juventus,59,41,3
Sheriff,Atlanta,13,87,2
Dortmund,Sheriff,35,65,2
Bensiktas,Salzburg,12,88,1
Atlanta,Chelsea,82,18,2
Sevilla,Barcelona,59,41,3
Liverpool,LOSC,83,17,3
Zenit,Paris,43,57,1
Sheriff,Milan,89,11,2
Internazionale,Real Madrid,65,35,1
Juventus,LOSC,75,25,1
Club Brugge,Shakhtar Donetsk,60,40,2
Juventus,Sevilla,12,88,1
Paris,Young Boys,14,86,3
Dynamo,Bensiktas,85,15,1
Porto,Juventus,83,17,3
Wolfsburg,Porto,37,63,1
Malmö,Internazionale,82,18,2
Chelsea,Real Madrid,40,60,1
Porto,Internazionale,87,13,1
Barcelona,Zenit,38,62,2
Salzburg,Zenit,68,32,1
Young Boys,Wolfsburg,25,75,3
Shakhtar Donetsk,Villareal,98,2,3
LOSC,Chelsea,31,69,2
Atlanta,Internazionale,54,46,2
Salzburg,Zenit,2,98,3
Barcelona,Villareal,36,64,2
Sevilla,Man. City,8,92,3
Porto,Villareal,83,17,2
Malmö,Man. City,81,19,1
Paris,Bayern,26,74,2
Dynamo,Milan,13,87,2
Zenit,Internazionale,37,63,2
Porto,Man. City,62,38,1
Man. City,Dortmund,21,79,3
Internazionale,Benfica,28,72,3
Ajax,Bayern,83,17,1
Club Brugge,Milan,44,56,2
Juventus,Bayern,85,15,3
Dortmund,LOSC,1,99,1
Chelsea,Salzburg,14,86,1
Malmö,Internazionale,89,11,2
Man. City,Wolfsburg,2,98,1
Porto,LOSC,32,68,3
Man. City,Leipzig,92,8,3
Man. City,Dynamo,72,28,3
Sporting CP,Chelsea,36,64,3
Leipzig,Sheriff,37,63,2
LOSC,Club Brugge,66,34,1
Real Madrid,Atlanta,11,89,3
Internazionale,Sevilla,90,10,3
Ajax,Man. City,67,33,3
Bayern,Man. City,74,26,2
Ajax,Barcelona,88,12,3
Bayern,Shakhtar Donetsk,6,94,2
Salzburg,Man. United,27,73,3
Barcelona,Dynamo,25,75,1
Paris,Dortmund,73,27,1
Sporting CP,Sheriff,72,28,2
Bayern,Leipzig,42,58,2
Milan,Liverpool,28,72,1
Sheriff,Juventus,62,38,3
Juventus,Liverpool,96,4,1
Barcelona,Man. City,77,23,3
Salzburg,Paris,95,5,2
Man. City,Malmö,10,90,3
Paris,Malmö,18,82,2
Man. City,Sevilla,32,68,2
Sporting CP,Sevilla,9,91,3
Man. City,Real Madrid,32,68,1
Real Madrid,Milan,3,97,1
Chelsea,Club Brugge,91,9,2
Liverpool,Atletico,65,35,3
Juventus,Liverpool,32,68,2
Liverpool,Chelsea,10,90,2
Sporting CP,Bayern,12,88,2
Liverpool,Bensiktas,41,59,3
Atletico,Milan,45,55,3
Chelsea,Atlanta,13,87,3
Liverpool,Malmö,37,63,2
Atletico,Bayern,30,70,2
Salzburg,Chelsea,54,46,1
Milan,Sporting CP,5,95,1
Paris,Zenit,77,23,3
Man. City,Atletico,10,90,2
Leipzig,Zenit,38,62,3
Benfica,Man. City,38,62,1
Juventus,Bayern,75,25,2
Villareal,Sevilla,100,0,1
Paris,Barcelona,73,27,2
Internazionale,Dortmund,96,4,1
LOSC,Wolfsburg,15,85,2
Ajax,Sheriff,18,82,3
Man. United,Juventus,59,41,2
Dynamo,Bensiktas,22,78,3
Juventus,LOSC,4,96,3
Dynamo,Man. United,94,6,1
Ajax,Man. United,83,17,2
Sevilla,Man. United,57,43,3
Benfica,Sporting CP,86,14,1
Barcelona,Porto,59,41,2
Sevilla,Sporting CP,78,22,1
Sporting CP,Barcelona,65,35,3
Salzburg,Sevilla,55,45,1
Liverpool,Ajax,50,50,2
Benfica,Ajax,94,6,2
Real Madrid,Milan,85,15,2
Ajax,Villareal,61,39,1
Real Madrid,Villareal,80,20,1
Man. United,Sevilla,36,64,3
Villareal,Real Madrid,61,39,2
Atletico,Atlanta,5,95,1
Porto,Internazionale,44,56,2
Villareal,Benfica,96,4,3
Atletico,Man. United,1,99,2
Atlanta,Sevilla,0,100,2
Atlanta,Real Madrid,62,38,2
Liverpool,Sevilla,51,49,2
Man. City,Real Madrid,69,31,3
Sheriff,Zenit,47,53,2
Sporting CP,Bayern,26,74,2
Porto,Bensiktas,64,36,1
Internazionale,LOSC,27,73,2
Man. City,Malmö,39,61,3
LOSC,Sevilla,84,16,2
Chelsea,Paris,76,24,1
Man. United,Salzburg,15,85,3
Man. City,Bensiktas,78,22,3
Wolfsburg,Real Madrid,45,55,1
Shakhtar Donetsk,Dortmund,65,35,1
LOSC,Ajax,44,56,1
Milan,Sporting CP,95,5,3
Dynamo,Shakhtar Donetsk,25,75,3
Club Brugge,Dortmund,66,34,2
Wolfsburg,Man. United,40,60,1
Barcelona,Paris,41,59,3
Chelsea,Paris,84,16,1
Salzburg,Ajax,10,90,2
Paris,Juventus,26,74,3
Real Madrid,Internazionale,50,50,1
Malmö,Ajax,73,27,1
Bensiktas,Man. City,55,45,2
Real Madrid,Malmö,71,29,3
Malmö,Juventus,23,77,3
Bensiktas,Club Brugge,59,41,2
Ajax,Salzburg,7,93,1
Leipzig,Dortmund,82,18,2
Chelsea,Liverpool,94,6,2
Sporting CP,Malmö,97,3,1
Juventus,Dortmund,92,8,2
Liverpool,LOSC,1,99,1
Porto,Milan,15,85,2
Malmö,Juventus,54,46,3
Milan,LOSC,50,50,2
Porto,Man. City,26,74,1
Bayern,Sevilla,80,20,1
Malmö,Dortmund,100,0,1
Internazionale,Atlanta,35,65,3
LOSC,Atlanta,80,20,3
Benfica,Dortmund,47,53,1
Young Boys,Dortmund,16,84,2
Salzburg,Liverpool,17,83,1
Man. United,Shakhtar Donetsk,62,38,1
Liverpool,Juventus,75,25,1
LOSC,Man. City,46,54,1
Internazionale,Paris,19,81,3
Ajax,Sheriff,47,53,2
Benfica,Club Brugge,18,82,2
Sheriff,Juventus,89,11,1
Club Brugge,Young Boys,39,61,2
Internazionale,Milan,75,25,3
Wolfsburg,LOSC,27,73,2
Shakhtar Donetsk,Juventus,69,31,3
Leipzig,Young Boys,76,24,2
LOSC,Barcelona,84,16,2
Atletico,Benfica,53,47,3
Paris,Sporting CP,72,28,3
Shakhtar Donetsk,Sevilla,25,75,1
Shakhtar Donetsk,Salzburg,5,95,3
Club Brugge,Sevilla,18,82,1
Atlanta,Villareal,23,77,1
Man. City,Internazionale,50,50,1
Young Boys,Sporting CP,19,81,1
Internazionale,Shakhtar Donetsk,58,42,1
Man. City,Benfica,30,70,1
Ajax,Salzburg,29,71,2
Internazionale,Chelsea,76,24,2
Juventus,Porto,13,87,1
Bensiktas,Salzburg,35,65,2
LOSC,Milan,81,19,2
Salzburg,Real Madrid,3,97,1
Malmö,Club Brugge,95,5,3
Barcelona,Wolfsburg,71,29,1
Paris,Leipzig,69,31,2
Sevilla,Internazionale,81,19,2
Man. City,Liverpool,69,31,1
Juventus,Man. City,25,75,1
LOSC,Man. City,72,28,2
Atlanta,Sporting CP,54,46,2
Shakhtar Donetsk,Salzburg,100,0,3
Wolfsburg,Barcelona,1,99,2
Leipzig,Wolfsburg,85,15,2
Chelsea,Barcelona,32,68,2
Villareal,Bensiktas,51,49,1
Liverpool,Dynamo,42,58,1
Atletico,Sheriff,57,43,2
Salzburg,Malmö,46,54,1
Zenit,Bayern,56,44,3
Internazionale,Real Madrid,96,4,3
Chelsea,Bensiktas,100,0,1
Barcelona,Atlanta,85,15,2
Leipzig,Ajax,40,60,3
Dynamo,Atlanta,13,87,2
Wolfsburg,Sevilla,31,69,1
Man. United,Real Madrid,90,10,2
Zenit,Villareal,26,74,3
Malmö,Man. United,27,73,1
Bensiktas,Dynamo,22,78,2
Real Madrid,Young Boys,30,70,1
Shakhtar Donetsk,Atletico,78,22,2
Ajax,Dynamo,95,5,3
Sheriff,Atlanta,28,72,3
Club Brugge,Porto,40,60,2
Chelsea,Dynamo,90,10,1
Wolfsburg,Paris,89,11,1
Chelsea,Juventus,75,25,1
